town,geocode,Single_Family_Home_Permits_2010_to_2017,Total_Value_of_All_Homes_Built_2010_to_2017,Average_Home_Value,Housing_Units_2010,Housing_Units_2017,Housing_Units_Change,Housing_Units_Percent_Change,Population_2010,Population_2017,Population_Change,Population_Change_Percent,Miles_to_Coast
Albion,g11010,55,6160000,112000,923,892,-31,-3.4,2041,1976,-65,-3.2,21.25
Appleton,g13010,50,8210438,164208.76,646,673,27,4.2,1316,1358,42,3.2,12.21
Belfast,g27010,100,19935609,199356.09,3582,3291,-291,-8.1,6668,6680,12,0.2,0
Belmont,g27020,0,0,0,462,499,37,8,942,930,-12,-1.3,6.13
Brooks,g27030,,,,562,558,-4,-0.7,1078,970,-108,-10,7.89
Camden,g13020,102,33208959,325578.0294,3165,3346,181,5.7,4850,4837,-13,-0.3,0
Freedom,g27060,,,,343,355,12,3.5,719,717,-2,-0.3,16.44
Hibberts Gore,g15801,,,,1,0,-1,-100,1,0,-1,-100,17.35
Hope,g13050,110,21973570,199759.7273,805,810,5,0.6,1536,1522,-14,-0.9,7.71
Islesboro,g27070,19,12333000,649105.2632,850,871,21,2.5,566,759,193,34.1,0
Jackson,g27080,,,,272,319,47,17.3,548,690,142,25.9,13.32
Knox,g27090,7,875000,125000,382,409,27,7.1,806,827,21,2.6,10.67
Liberty,g27100,,,,718,722,4,0.6,913,878,-35,-3.8,17.43
Lincolnville,g27110,87,18922300,217497.7011,1465,1377,-88,-6,2164,1965,-199,-9.2,0
Monroe,g27120,68,17457201,256723.5441,461,470,9,2,890,964,74,8.3,8.73
Montville,g27130,78,19877536,254840.2051,553,439,-114,-20.6,1032,827,-205,-19.9,12.56
Morrill,g27140,14,2057048,146932,379,459,80,21.1,884,1004,120,13.6,7.01
Northport,g27150,79,12995156,164495.6456,1162,1353,191,16.4,1520,1863,343,22.6,0
Palermo,g27160,26,4075667,156756.4231,975,1002,27,2.8,1535,1483,-52,-3.4,20.38
Rockland,g13100,48,6630157,138128.2708,3925,4195,270,6.9,7297,7204,-93,-1.3,0
Rockport,g13110,83,17011854,204962.0964,1956,1756,-200,-10.2,3330,3356,26,0.8,0
Searsmont,g27180,36,5442500,151180.5556,741,767,26,3.5,1392,1496,104,7.5,11.41
Searsport,g27190,,,,1510,1672,162,10.7,2615,2647,32,1.2,0
Somerville,g15130,17,2123049,124885.2353,309,289,-20,-6.5,548,443,-105,-19.2,13.27
Swanville,g27210,15,2131119,142074.6,793,852,59,7.4,1388,1275,-113,-8.1,6.35
Thorndike,g27220,14,3732793,266628.0714,396,427,31,7.8,890,807,-83,-9.3,14.9
Union,g13150,10,1607000,160700,1203,1147,-56,-4.7,2259,2507,248,11,10.36
Unity,g27240,20,2899662,144983.1,939,1003,64,6.8,2099,2356,257,12.2,18.81
Waldo,g27250,56,4909590,87671.25,373,421,48,12.9,762,887,125,16.4,4.04
Waldoboro,g15160,82,14013425,170895.4268,2651,2784,133,5,5075,4996,-79,-1.6,0
Warren,g13170,13,8736250,672019.2308,1760,1959,199,11.3,4751,4706,-45,-0.9,0
Washington,g13180,38,3108198,81794.68421,797,789,-8,-1,1527,1514,-13,-0.9,13.53
